hx, hy
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.14, 0.47
0.15, 0.48
0.15, 0.48
0.15, 0.48
0.15, 0.48
0.15, 0.48
0.15, 0.48
0.15, 0.49
0.15, 0.49
0.15, 0.49
0.15, 0.49
0.15, 0.49
0.15, 0.49
0.15, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.49
0.16, 0.50
0.16, 0.50
0.16, 0.50
0.16, 0.50
0.16, 0.50
0.16, 0.50
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.18, 0.52
0.18, 0.52
0.18, 0.52
0.18, 0.52
0.18, 0.52
0.18, 0.52
0.18, 0.52
0.17, 0.52
0.17, 0.52
0.17, 0.52
0.17, 0.52
0.17, 0.52
0.17, 0.52
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.51
0.17, 0.52
0.17, 0.52
0.17, 0.52
0.17, 0.52
0.17, 0.52
0.17, 0.52
0.18, 0.52
0.18, 0.52
0.18, 0.52
0.18, 0.52
0.18, 0.52
0.18, 0.52
0.18, 0.52
0.18, 0.53
0.18, 0.53
0.18, 0.53
0.18, 0.53
0.18, 0.53
0.18, 0.53
0.18, 0.54
0.18, 0.54
0.18, 0.54
0.18, 0.54
0.18, 0.54
0.18, 0.54
0.18, 0.54
0.19, 0.56
0.19, 0.56
0.19, 0.56
0.19, 0.56
0.19, 0.56
0.19, 0.56
0.19, 0.57
0.19, 0.57
0.19, 0.57
0.19, 0.57
0.19, 0.57
0.19, 0.57
0.19, 0.57
0.19, 0.58
0.19, 0.58
0.19, 0.58
0.19, 0.58
0.19, 0.58
0.19, 0.58
0.19, 0.59
0.19, 0.59
0.19, 0.59
0.19, 0.59
0.19, 0.59
0.19, 0.59
0.19, 0.59
0.18, 0.61
0.18, 0.61
0.18, 0.61
0.18, 0.61
0.18, 0.61
0.18, 0.61
0.18, 0.62
0.18, 0.62
0.18, 0.62
0.18, 0.62
0.18, 0.62
0.18, 0.62
0.18, 0.62
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.63
0.17, 0.64
0.17, 0.64
0.17, 0.64
0.17, 0.64
0.17, 0.64
0.17, 0.64
0.17, 0.64
0.16, 0.65
0.16, 0.65
0.16, 0.65
0.16, 0.65
0.16, 0.65
0.16, 0.65
0.15, 0.66
0.15, 0.66
0.15, 0.66
0.15, 0.66
0.15, 0.66
0.15, 0.66
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.67
0.14, 0.68
0.14, 0.68
0.14, 0.68
0.14, 0.68
0.14, 0.68
0.14, 0.68
0.13, 0.68
0.13, 0.68
0.13, 0.68
0.13, 0.68
0.13, 0.68
0.13, 0.68
0.13, 0.68
0.12, 0.68
0.12, 0.68
0.12, 0.68
0.12, 0.68
0.12, 0.68
0.12, 0.68
0.11, 0.69
0.11, 0.69
0.11, 0.69
0.11, 0.69
0.11, 0.69
0.11, 0.69
0.11, 0.69
0.10, 0.70
0.10, 0.70
0.10, 0.70
0.10, 0.70
0.10, 0.70
0.10, 0.70
0.09, 0.69
0.09, 0.69
0.09, 0.69
0.09, 0.69
0.09, 0.69
0.09, 0.69
0.09, 0.69
0.08, 0.70
0.08, 0.70
0.08, 0.70
0.08, 0.70
0.08, 0.70
0.08, 0.70
0.06, 0.70
0.06, 0.70
0.06, 0.70
0.06, 0.70
0.06, 0.70
0.06, 0.70
0.06, 0.70
0.05, 0.70
0.05, 0.70
0.05, 0.70
0.05, 0.70
0.05, 0.70
0.05, 0.70
0.04, 0.70
0.04, 0.70
0.04, 0.70
0.04, 0.70
0.04, 0.70
0.04, 0.70
0.04, 0.70
0.01, 0.70
0.01, 0.70
0.01, 0.70
0.01, 0.70
0.01, 0.70
0.01, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
0.00, 0.70
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.02, 0.69
-0.03, 0.68
-0.03, 0.68
-0.03, 0.68
-0.03, 0.68
-0.03, 0.68
-0.03, 0.68
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.05, 0.66
-0.05, 0.66
-0.05, 0.66
-0.05, 0.66
-0.05, 0.66
-0.05, 0.66
-0.07, 0.65
-0.07, 0.65
-0.07, 0.65
-0.07, 0.65
-0.07, 0.65
-0.07, 0.65
-0.08, 0.64
-0.08, 0.64
-0.08, 0.64
-0.08, 0.64
-0.08, 0.64
-0.08, 0.64
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.62
-0.08, 0.62
-0.08, 0.62
-0.08, 0.62
-0.08, 0.62
-0.08, 0.62
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.08, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.09, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.63
-0.10, 0.64
-0.10, 0.64
-0.10, 0.64
-0.10, 0.64
-0.10, 0.64
-0.10, 0.64
-0.09, 0.65
-0.09, 0.65
-0.09, 0.65
-0.09, 0.65
-0.09, 0.65
-0.09, 0.65
-0.07, 0.64
-0.07, 0.64
-0.07, 0.64
-0.07, 0.64
-0.07, 0.64
-0.07, 0.64
-0.06, 0.65
-0.06, 0.65
-0.06, 0.65
-0.06, 0.65
-0.06, 0.65
-0.06, 0.65
-0.07, 0.66
-0.07, 0.66
-0.07, 0.66
-0.07, 0.66
-0.07, 0.66
-0.07, 0.66
-0.09, 0.65
-0.09, 0.65
-0.09, 0.65
-0.09, 0.65
-0.09, 0.65
-0.09, 0.65
-0.09, 0.66
-0.09, 0.66
-0.09, 0.66
-0.09, 0.66
-0.09, 0.66
-0.09, 0.66
-0.07, 0.67
-0.07, 0.67
-0.07, 0.67
-0.07, 0.67
-0.07, 0.67
-0.07, 0.67
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.05, 0.67
-0.04, 0.67
-0.04, 0.67
-0.04, 0.67
-0.04, 0.67
-0.04, 0.67
-0.04, 0.67
-0.04, 0.68
-0.04, 0.68
-0.04, 0.68
-0.04, 0.68
-0.04, 0.68
-0.04, 0.68
-0.06, 0.67
-0.06, 0.67
-0.06, 0.67
-0.06, 0.67
-0.06, 0.67
-0.06, 0.67
-0.07, 0.68
-0.07, 0.68
-0.07, 0.68
-0.07, 0.68
